originals	tokenized	transliterated
knipte	k n i p t e	k n ɪ p t ə
Knitting	K n i tt i ng	k n ɪ t ɪ ŋ
knodsendragers	k n o d s e n d r a g e r s	k n ɔ t s ɛ n d r a ɣ ə r s
Knoeien	K n oei e n	k n ui ə n
knoet	k n oe t	k n u t
knoflook	k n o f l oo k	k n ɔ f l o k
knoflookadem	k n o f l oo k a d e m	k n ɔ f l o k a d ɛ m
Knokke	K n o kk e	k n ɔ k ə
Knol	K n o l	k n ɔ l
knoop	k n oo p	k n o p
knooppunt	k n oo pp u n t	k n o p œ n t
knop	k n o p	k n ɔ p
knopen	k n o p e n	k n o p ə n
knoppenplank	k n o pp e n p l a n k	k n ɔ p ɛ n p l ɑ ŋ k
Knoppert	K n o pp e r t	k n ɔ p ɛ r t
Knops	K n o p s	k n ɔ p s
knuffelkonijn	k n u ff e l k o n ij n	k n œ f ɛ l k o n ɛɪ n
knullig	k n u ll i g	k n œ l ə ɣ
knullige	k n u ll i g e	k n œ l ə ɣ ə
knusser	k n u ss e r	k n œ s ə r
knutselpannetje	k n u t s e l p a nn e tj e	k n œ t s ɛ l p ɑ n e c ə
Koalas	K o a l a s	k o a l ɑ s
Kobadji-onderdeel	K o b a d j i - o n d e r d ee l	k o b a d j i ɔ n d ɛ r d e l
Koch	K o ch	k ɔ x
kocht	k o ch t	k ɔ x t
kochten	k o ch t e n	k ɔ x t ə n
koddige	k o dd i g e	k ɔ d ə ɣ ə
koe	k oe	k u
koeien	k oei e n	k ui ə n
koek	k oe k	k u k
Koek	K oe k	k u k
koeken	k oe k e n	k u k ə n
koekepan	k oe k e p a n	k u k e p ɑ n
koekje	k oe k j e	k u k j ə
koekjes	k oe k j e s	k u k j ɛ s
koekjesdivisie	k oe k j e s d i v i s ie	k u k j ɛ s d i v i s i
koelen	k oe l e n	k u l ə n
koeling	k oe l i ng	k u l ɪ ŋ
koelkast	k oe l k a s t	k u l k ɑ s t
koelleidingen	k oe ll ei d i ng e n	k u l ɛɪ d ɪ ŋ ə n
koelvloeistof	k oe l v l oei s t o f	k u l v l ui s t ɔ f
Koeman	K oe m a n	k u m ɑ n
koemelk	k oe m e l k	k u m ɛ l k
Koen	K oe n	k u n
Koepel	K oe p e l	k u p ə l
Koerden	K oe r d e n	k u r d ə n
Koerdische	K oe r d i sch e	k u r d i s ə
koers	k oe r s	k u r s
koersbroek	k oe r s b r oe k	k u r s b r u k
koersdoel	k oe r s d oe l	k u r s d u l
koersen	k oe r s e n	k u r s ə n
koersval	k oe r s v a l	k u r s v ɑ l
koerswijziging	k oe r s w ij z i g i ng	k u r s ʋ ɛɪ z i ɣ ɪ ŋ
koesteren	k oe s t e r e n	k u s t e r ə n
koets	k oe t s	k u t s
Koets	K oe t s	k u t s
koevinkje	k oe v i n k j e	k u v ɪ ŋ k j ə
Koeweide	K oe w ei d e	k u ʋ ɛɪ d ə
kofferbak	k o ff e r b a k	k ɔ f ɛ r b ɑ k
koffie	k o ff ie	k ɔ f i
Koffie	K o ff ie	k ɔ f i
koffiemok	k o ff ie m o k	k ɔ f i m ɔ k
kogelbrief	k o g e l b r ie f	k o ɣ ə l b r i f
kogellagervoering	k o g e ll a g e r v oe r i ng	k o ɣ ə l a ɣ ə r v u r ɪ ŋ
kogels	k o g e l s	k o ɣ ə l s
koggenroute	k o gg e n r ou t e	k ɔ ɣ ə n r u t ə
Koivisto	K oi v i s t o	k ʋa v ɪ s t o
kok	k o k	k ɔ k
Kok	K o k	k ɔ k
koken	k o k e n	k o k ə n
kokkels	k o kk e l s	k ɔ k ɛ l s
koks	k o k s	k ɔ k s
Kol	K o l	k ɔ l
kolkenzuiger	k o l k e n z ui g e r	k ɔ l k ɛ n z œy ɣ ə r
Koller	K o ll e r	k ɔ l ə r
Kollies	K o ll ie s	k ɔ l i s
kolom	k o l o m	k o l ɔ m
kolommen	k o l o mm e n	k o l ɔ m ə n
Kolonel	K o l o n e l	k o l o n ə l
koloniale	k o l o n i a l e	k o l o n i a l ə
Koloniën	K o l o n i ë n	k o l o n i ə n
kolonisatie	k o l o n i s a t ie	k o l o n i s a ts i
kolonist	k o l o n i s t	k o l o n ɪ s t
Kolyma	K o l y m a	k o l i m a
kom	k o m	k ɔ m
Kom	K o m	k ɔ m
komaf	k o m a f	k o m ɑ f
kombuis	k o m b ui s	k ɔ m b œy s
Kombuis	K o m b ui s	k ɔ m b œy s
komedie	k o m e d ie	k o m e d i
komeet	k o m ee t	k o m e t
komen	k o m e n	k o m ə n
komend	k o m e n d	k o m ɛ n t
komende	k o m e n d e	k o m ɛ n d ə
Komende	K o m e n d e	k o m ɛ n d ə
komkommers	k o m k o mm e r s	k ɔ m k ɔ m ɛ r s
komma	k o mm a	k ɔ m a
kompaan	k o m p aa n	k ɔ m p a n
komst	k o m s t	k ɔ m s t
komt	k o m t	k ɔ m t
Komt	K o m t	k ɔ m t
kon	k o n	k ɔ n
kón	k ó n	k ɔ n
Konami	K o n a m i	k o n a m i
konden	k o n d e n	k ɔ n d ə n
kondigde	k o n d i g d e	k ɔ n d ɪ ɣ d ə
kondigt	k o n d i g t	k ɔ n d ɪ ɣ t
konen	k o n e n	k o n ə n
Kong	K o ng	k ɔ ŋ
koniginnedag	k o n i g i nn e d a g	k o n i ɣ ɪ n e d ɑ ɣ
konijn	k o n ij n	k o n ɛɪ n
Konijnendijk	K o n ij n e n d ij k	k o n ɛɪ n ɛ n d ɛɪ k
koning	k o n i ng	k o n ɪ ŋ
Koning	K o n i ng	k o n ɪ ŋ
koningen	k o n i ng e n	k o n ɪ ŋ ə n
koningin	k o n i ng i n	k o n ɪ ŋ ɪ n
Koningin	K o n i ng i n	k o n ɪ ŋ ɪ n
Koninginnedag	K o n i ng i nn e d a g	k o n ɪ ŋ ɪ n e d ɑ ɣ
koningshuis	k o n i ng s h ui s	k o n ɪ ŋ s h œy s
koninklijk	k o n i n k l ij k	k o n ɪ ŋ k l ə k
koninklijke	k o n i n k l ij k e	k o n ɪ ŋ k l ə k ə
Koninklijke	K o n i n k l ij k e	k o n ɪ ŋ k l ə k ə
Koninkrijk	K o n i n k r ij k	k o n ɪ ŋ k r ɛɪ k
konsumenten	k o n s u m e n t e n	k ɔ n s y m ɛ n t ə n
kont	k o n t	k ɔ n t
kontgaatje	k o n t g aa tj e	k ɔ n t ɣ a c ə
kontje	k o n tj e	k ɔ n c ə
konvooi	k o n v ooi	k ɔ n v oi
kooi	k ooi	k oi
Kooiman	K ooi m a n	k oi m ɑ n
kook	k oo k	k o k
kookplaat	k oo k p l aa t	k o k p l a t
kookstages	k oo k s t a g e s	k o k s t a ɣ ə s
kookstatistieken	k oo k s t a t i s t ie k e n	k o k s t a t ɪ s t i k ə n
Kookstudio	K oo k s t u d i o	k o k s t y d i o
kookvuur	k oo k v uu r	k o k v y r
kookzones	k oo k z o n e s	k o k z o n ɛ s
kool	k oo l	k o l
kooldioxide	k oo l d i o x i d e	k o l d i ɔ ks i d ə
Koolen	K oo l e n	k o l ə n
Koolhof	K oo l h o f	k o l h ɔ f
koolhydraatverslaving	k oo l h y d r aa t v e r s l a v i ng	k o l h i d r a t v ɛ r s l a v ɪ ŋ
Koolkerke	K oo l k e r k e	k o l k ɛ r k ə
Koolrapen	K oo l r a p e n	k o l r a p ə n
koolstof	k oo l s t o f	k o l s t ɔ f
koolzuur	k oo l z uu r	k o l z y r
koop	k oo p	k o p
koopadvies	k oo p a d v ie s	k o p ɑ t v i s
koopavonden	k oo p a v o n d e n	k o p a v ɔ n d ə n
koophandel	k oo p h a n d e l	k o p h ɑ n d ə l
Koophandel	K oo p h a n d e l	k o p h ɑ n d ə l
koopintentie	k oo p i n t e n t ie	k o p ɪ n t ɛ n ts i
Koopjesjagers	K oo p j e sj a g e r s	k o p j e ʃ a ɣ ə r s
koopkracht	k oo p k r a ch t	k o p k r ɑ x t
koopprijs	k oo pp r ij s	k o p r ɛɪ s
koopprijzen	k oo pp r ij z e n	k o p r ɛɪ z ə n
koopstudio	k oo p s t u d i o	k o p s t y d i o
koopt	k oo p t	k o p t
koopvaardij	k oo p v aa r d ij	k o p v a r d ɛɪ
koor	k oo r	k o r
Koor	K oo r	k o r
Kooremans	K oo r e m a n s	k o r e m ɑ n s
koorleden	k oo r l e d e n	k o r l e d ə n
Koornmarkt	K oo r n m a r k t	k o r n m ɑ r k t
Koortsachtig	K oo r t s a ch t i g	k o r t s ɑ x t ə ɣ
koos	k oo s	k o s
Koos	K oo s	k o s
kop	k o p	k ɔ p
kop-hals-rompboerderij	k o p - h a l s - r o m p b oe r d e r ij	k o p h ɑ l s r ɔ m p b u r d e r ɛɪ
kop-romplengte	k o p - r o m p l e ng t e	k o p r ɔ m p l ɛ ŋ t ə
kop-staartaanrijding	k o p - s t aa r t aa n r ij d i ng	k o p s t a r t a n r ɛɪ d ɪ ŋ
kopbal	k o p b a l	k ɔ p b ɑ l
kopen	k o p e n	k o p ə n
Kopenhagen	K o p e n h a g e n	k o p e n h a ɣ ə n
koper	k o p e r	k o p ə r
Koper	K o p e r	k o p ə r
kopers	k o p e r s	k o p ɛ r s
kopgevels	k o p g e v e l s	k ɔ p ɣ ə v ɛ l s
kopgroep	k o p g r oe p	k ɔ p ɣ r u p
kopie	k o p ie	k o p i
kopieën	k o p ie ë n	k o p i ə n
kopieer	k o p i ee r	k o p i e r
kopieerapperaat	k o p i ee r a pp e r aa t	k o p i e r ɑ p e r a t
kopiëren	k o p i ë r e n	k o p i e r ə n
kopje	k o p j e	k o p j ə
koploper	k o p l o p e r	k ɔ p l o p ə r
Kopparberg	K o pp a r b e r g	k ɔ p ɑ r b ə r ɣ
koppel	k o pp e l	k ɔ p ə l
koppelen	k o pp e l e n	k ɔ p e l ə n
koppeling	k o pp e l i ng	k ɔ p e l ɪ ŋ
koppelingen	k o pp e l i ng e n	k ɔ p e l ɪ ŋ ə n
koppelingscoëfficiënt	k o pp e l i ng s c o ë ff i c i ë n t	k ɔ p e l ɪ ŋ s k o ɛ f i s i ɛ n t
Koppelingscoëfficiënt	K o pp e l i ng s c o ë ff i c i ë n t	k ɔ p e l ɪ ŋ s k o ɛ f i s i ɛ n t
koppelingspomp	k o pp e l i ng s p o m p	k ɔ p e l ɪ ŋ s p ɔ m p
koppelingsprincipe	k o pp e l i ng s p r i n c i p e	k ɔ p e l ɪ ŋ s p r ɪ n s i p ə
koppels	k o pp e l s	k ɔ p ɛ l s
koppelt	k o pp e l t	k ɔ p ɛ l t
koppelverkoop	k o pp e l v e r k oo p	k ɔ p ɛ l v ɛ r k o p
Koppen	K o pp e n	k ɔ p ə n
Koppert	K o pp e r t	k ɔ p ɛ r t
koppies	k o pp ie s	k ɔ p i s
kopregel	k o p r e g e l	k ɔ p r e ɣ ə l
kopspijker	k o p s p ij k e r	k ɔ p s p ɛɪ k ə r
kopstoot	k o p s t oo t	k ɔ p s t o t
kopstuk	k o p s t u k	k ɔ p s t œ k
kopstukken	k o p s t u kk e n	k ɔ p s t œ k ə n
koraal	k o r aa l	k o r a l
Koran	K o r a n	k o r ɑ n
Korczak	K o r c z a k	k ɔ r k z ɑ k
Korea	K o r e a	k o r ɛ a
koren	k o r e n	k o r ə n
korfbalvereniging	k o r f b a l v e r e n i g i ng	k ɔ r f b ɑ l v e r e n i ɣ ɪ ŋ
korporaal	k o r p o r aa l	k ɔ r p o r a l
korps	k o r p s	k ɔ r p s
korps-chef	k o r p s - ch e f	k ɔ r p s x ɛ f
korpschef	k o r p s ch e f	k ɔ r p s x ɛ f
korpsen	k o r p s e n	k ɔ r p s ə n
korrel	k o rr e l	k ɔ r ə l
korrelige	k o rr e l i g e	k ɔ r e l ə ɣ ə
kort	k o r t	k ɔ r t
Kort	K o r t	k ɔ r t
kortademigheid	k o r t a d e m i gh ei d	k ɔ r t a d e m i g ɛɪ t
korte	k o r t e	k ɔ r t ə
Korte	K o r t e	k ɔ r t ə
Kortekaas	K o r t e k aa s	k ɔ r t e k a s
korten	k o r t e n	k ɔ r t ə n
Kortenaken	K o r t e n a k e n	k ɔ r t e n a k ə n
korter	k o r t e r	k ɔ r t ə r
Korthaar	K o r t h aa r	k ɔ r t h a r
Korthals	K o r t h a l s	k ɔ r t h ɑ l s
korting	k o r t i ng	k ɔ r t ɪ ŋ
kortjakje	k o r tj a k j e	k ɔ r c a k j ə
kortom	k o r t o m	k ɔ r t ɔ m
Kortom	K o r t o m	k ɔ r t ɔ m
Kortrijk	K o r t r ij k	k ɔ r t r ɛɪ k
kortst	k o r t s t	k ɔ r t s t
kortweg	k o r t w e g	k ɔ r t ʋ ɛ ɣ
kortzichtige	k o r t z i ch t i g e	k ɔ r t z ɪ x t ə ɣ ə
Korving	K o r v i ng	k ɔ r v ɪ ŋ
kosmische	k o s m i sch e	k ɔ s m i s ə
kosmopolitischer	k o s m o p o l i t i s ch e r	k ɔ s m o p o l i t i s x ə r
kosmos	k o s m o s	k ɔ s m ɔ s
Kosovo	K o s o v o	k o s o v o
kost	k o s t	k ɔ s t
kostbaar	k o s t b aa r	k ɔ s t b a r
kostbare	k o s t b a r e	k ɔ s t b a r ə
koste	k o s t e	k ɔ s t ə
kosteloos	k o s t e l oo s	k ɔ s t e l o s
kosten	k o s t e n	k ɔ s t ə n
Kosten	K o s t e n	k ɔ s t ə n
kostenbesparing	k o s t e n b e s p a r i ng	k ɔ s t ɛ n b ə s p a r ɪ ŋ
kostendekkende	k o s t e n d e kk e n d e	k ɔ s t ɛ n d ɛ k ɛ n d ə
kosteneffectief	k o s t e n e ff e c t ie f	k ɔ s t e n ɛ f ɛ k t i f
kostenloze	k o s t e n l o z e	k ɔ s t ɛ n l o z ə
kostenplaatje	k o s t e n p l aa tj e	k ɔ s t ɛ n p l a c ə
kostensoorten	k o s t e n s oo r t e n	k ɔ s t ɛ n s o r t ə n
kostenverhouding	k o s t e n v e r h ou d i ng	k ɔ s t ɛ n v e r h ɑu d ɪ ŋ
kostprijs	k o s t p r ij s	k ɔ s t p r ɛɪ s
Kostprijs	K o s t p r ij s	k ɔ s t p r ɛɪ s
kostte	k o s tt e	k ɔ s t ə
kostten	k o s tt e n	k ɔ s t ə n
kostuum	k o s t uu m	k ɔ s t y m
kot	k o t	k ɔ t
kotbaas	k o t b aa s	k ɔ t b a s
kotsen	k o t s e n	k ɔ t s ə n
Kotshol	K o t s h o l	k ɔ t s h ɔ l
kotter	k o tt e r	k ɔ t ə r
kou	k ou	k ɑu
koud	k ou d	k ɑu t
koude	k ou d e	k ɑu d ə
koudere	k ou d e r e	k ɑu d e r ə
koufront	k ou f r o n t	k ɑu f r ɔ n t
kous	k ou s	k ɑu s
kouwe	k ou w e	k ɑu ʋ ə
Kowt	K o w t	k o ʋ t
kozen	k o z e n	k o z ə n
Kozhukhin	K o z h u k h i n	k o z h y k h ɪ n
kpu	k p u	k p y
kraai	k r aai	k r aɪ
kraaien	k r aai e n	k r aɪ ə n
kraak	k r aa k	k r a k
kraakbeen	k r aa k b ee n	k r a k b e n
kraakte	k r aa k t e	k r a k t ə
kraambezoek	k r aa m b e z oe k	k r a m b ə z u k
kraamkado	k r aa m k a d o	k r a m k a d o
kraamperiode	k r aa m p e r i o d e	k r a m p e r i o d ə
kraan	k r aa n	k r a n
krabbel	k r a bb e l	k r ɑ b ə l
krabbelt	k r a bb e l t	k r ɑ b ə l t
kracht	k r a ch t	k r ɑ x t
Kracht	K r a ch t	k r ɑ x t
krachten	k r a ch t e n	k r ɑ x t ə n
krachtens	k r a ch t e n s	k r ɑ x t ɛ n s
krachtig	k r a ch t i g	k r ɑ x t ə ɣ
krachtige	k r a ch t i g e	k r ɑ x t ə ɣ ə
krachtlijnen	k r a ch t l ij n e n	k r ɑ x t l ɛɪ n ə n
krachtuithoudingsvermogen	k r a ch t ui t h ou d i ng s v e r m o g e n	k r ɑ x t œy t h ɑu d ɪ ŋ s v ɛ r m o ɣ ə n
krachtvoer	k r a ch t v oe r	k r ɑ x t v u r
Kraft	K r a f t	k r ɑ f t
Kraijcek	K r a ij c e k	k r a ɛɪ s ɛ k
Krakatau	K r a k a t au	k r a k a t ɑu
kralen	k r a l e n	k r a l ə n
Kralingse	K r a l i ng s e	k r a l ɪ ŋ s ə
Krall	K r a ll	k r ɑ l
kramen	k r a m e n	k r a m ə n
krampaanval	k r a m p aa n v a l	k r ɑ m p a n v ɑ l
Kranenburg	K r a n e n b u r g	k r a n ɛ n b œ r ɣ
krant	k r a n t	k r ɑ n t
kranten	k r a n t e n	k r ɑ n t ə n
krantenartikel	k r a n t e n a r t i k e l	k r ɑ n t e n ɑ r t i k ə l
krantenberichtje	k r a n t e n b e r i ch tj e	k r ɑ n t ɛ n b ə r ɪ x c ə
krapte	k r a p t e	k r ɑ p t ə
kreatief	k r e a t ie f	k r e a t i f
krediet	k r e d ie t	k r e d i t
kredietbedrag	k r e d ie t b e d r a g	k r e d i t b ə d r ɑ ɣ
kredietcrisis	k r e d ie t c r i s i s	k r e d i t k r i s ɪ s
kredietmarkt	k r e d ie t m a r k t	k r e d i t m ɑ r k t
Kredietverzekering	K r e d ie t v e r z e k e r i ng	k r e d i t v ɛ r z e k e r ɪ ŋ
kredietvoorwaarden	k r e d ie t v oo r w aa r d e n	k r e d i t v o r ʋ a r d ə n
kredietwaardigheid	k r e d ie t w aa r d i gh ei d	k r e d i t ʋ a r d i g ɛɪ t
kreeft	k r ee f t	k r e f t
kreeften	k r ee f t e n	k r e f t ə n
kreeg	k r ee g	k r e ɣ
Kreeg	K r ee g	k r e ɣ
kregen	k r e g e n	k r e ɣ ə n
krein	k r ei n	k r ɛɪ n
Kreis	K r ei s	k r ɛɪ s
kreken	k r e k e n	k r e k ə n
kremlin	k r e m l i n	k r ɛ m l ɪ n
Kreta	K r e t a	k r e t a
kreten	k r e t e n	k r e t ə n
Kreten	K r e t e n	k r e t ə n
kreunen	k r eu n e n	k r ø n ə n
kreupelhout	k r eu p e l h ou t	k r ø p e l h ɑu t
Krezip	K r e z i p	k r e z ɪ p
kriebelen	k r ie b e l e n	k r i b ə l ə n
krije	k r ij e	k r ɛɪ ə
krijg	k r ij g	k r ɛɪ ɣ
Krijg	K r ij g	k r ɛɪ ɣ
krijgen	k r ij g e n	k r ɛɪ ɣ ə n
krijgsgevangenen	k r ij g s g e v a ng e n e n	k r ɛɪ ɣ s ɣ ə v ɑ ŋ ə n ə n
krijgt	k r ij g t	k r ɛɪ ɣ t
krimpen	k r i m p e n	k r ɪ m p ə n
krimpt	k r i m p t	k r ɪ m p t
Krimrepubliek	K r i m r e p u b l ie k	k r ɪ m r e p œ b l i k
kring	k r i ng	k r ɪ ŋ
Kring	K r i ng	k r ɪ ŋ
kringen	k r i ng e n	k r ɪ ŋ ə n
Kris	K r i s	k r ɪ s
kristallen	k r i s t a ll e n	k r ɪ s t ɑ l ə n
kristallisator	k r i s t a ll i s a t o r	k r ɪ s t ɑ l i s a t ɔ r
Kristel	K r i s t e l	k r ɪ s t ə l
kritiek	k r i t ie k	k r i t i k
Kritiek	K r i t ie k	k r i t i k
kritieke	k r i t ie k e	k r i t i k ə
kritisch	k r i t i sch	k r i t i s
kritische	k r i t i sch e	k r i t i s ə
Kro	K r o	k r o
Kroata	K r o a t a	k r o a t a
Kroatië	K r o a ti ë	k r o a ʃ ə
Kroatische	K r o a t i sch e	k r o a t i s ə
Krödde	K r ⁇ dd e	k r ⁇ d ə
kroeg	k r oe g	k r u ɣ
Kroes	K r oe s	k r u s
kroeskarper	k r oe s k a r p e r	k r u s k ɑ r p ə r
Kroevert	K r oe v e r t	k r u v ɛ r t
Kroeze	K r oe z e	k r u z ə
kroket	k r o k e t	k r o k ɛ t
krom	k r o m	k r ɔ m
kromp	k r o m p	k r ɔ m p
Krona	K r o n a	k r o n a
Kronen	K r o n e n	k r o n ə n
Kroniek	K r o n ie k	k r o n i k
kronkelende	k r o n k e l e n d e	k r ɔ ŋ k e l ɛ n d ə
kroon	k r oo n	k r o n
kroonprinselijke	k r oo n p r i n s e l ij k e	k r o n p r ɪ n s e l ə k ə
kroop	k r oo p	k r o p
Kropholler	K r o p h o ll e r	k r o p h ɔ l ə r
Krophollerkenners	K r o p h o ll e r k e nn e r s	k r o p h ɔ l ɛ r k ɛ n ɛ r s
krt	k r t	k r t
kruiden	k r ui d e n	k r œy d ə n
Kruiden	K r ui d e n	k r œy d ə n
Kruiningen-Perkpolder	K r ui n i ng e n - P e r k p o l d e r	k r œy n ɪ ŋ ə n p ɛ r k p ɔ l d ə r
kruipen	k r ui p e n	k r œy p ə n
kruipend	k r ui p e n d	k r œy p ɛ n t
kruipruimte	k r ui p r ui m t e	k r œy p r œy m t ə
kruipt	k r ui p t	k r œy p t
kruis	k r ui s	k r œy s
Kruis	K r ui s	k r œy s
Kruis-Vlaanderen	K r ui s - V l aa n d e r e n	k r œy s f l a n d e r ə n
kruisband	k r ui s b a n d	k r œy s b ɑ n t
kruisen	k r ui s e n	k r œy s ə n
Kruisen	K r ui s e n	k r œy s ə n
kruising	k r ui s i ng	k r œy s ɪ ŋ
kruisingen	k r ui s i ng e n	k r œy s ɪ ŋ ə n
Kruislaan	K r ui s l aa n	k r œy s l a n
kruispunt	k r ui s p u n t	k r œy s p œ n t
Kruispunt	K r ui s p u n t	k r œy s p œ n t
kruispuntvarianten	k r ui s p u n t v a r i a n t e n	k r œy s p œ n t v a r i ɑ n t ə n
kruisvaarders	k r ui s v aa r d e r s	k r œy s v a r d ɛ r s
kruisvaardersleger	k r ui s v aa r d e r s l e g e r	k r œy s v a r d ɛ r s l e ɣ ə r
Kruizemunta	K r ui z e m u n t a	k r œy z e m œ n t a
krukje	k r u k j e	k r y k j ə
krukslot	k r u k s l o t	k r œ k s l ɔ t
krullige	k r u ll i g e	k r œ l ə ɣ ə
Krumm	K r u mm	k r œ m
kubieke	k u b ie k e	k y b i k ə
kudo	k u d o	k y d o
kudtdorp	k u d t d o r p	k œ t t d ɔ r p
Kufo	K u f o	k y f o
Kuik	K ui k	k œy k
kuiltje	k ui l tj e	k œy l c ə
kuip	k ui p	k œy p
Kuiper	K ui p e r	k œy p ə r
kuiperboerderij	k ui p e r b oe r d e r ij	k œy p ɛ r b u r d e r ɛɪ
Kuipers	K ui p e r s	k œy p ɛ r s
Kuipershoeve	K ui p e r s h oe v e	k œy p ɛ r s h u v ə
kuipje	k ui p j e	k œy p j ə
kuipplanten	k ui pp l a n t e n	k œy p l ɑ n t ə n
Kuiptent	K ui p t e n t	k œy p t ɛ n t
kuisheid	k ui s h ei d	k œy s h ɛɪ t
kuit	k ui t	k œy t
Kuiterts	K ui t e r t s	k œy t ɛ r t s
Kumulstheater	K u m u l s t h e a t e r	k y m œ l s t h e a t ə r
kun	k u n	k œ n
Kun	K u n	k œ n
kunde	k u n d e	k œ n d ə
kundigheid	k u n d i gh ei d	k œ n d i g ɛɪ t
kunnen	k u nn e n	k œ n ə n
Kunnen	K u nn e n	k œ n ə n
kúnnen	k ú nn e n	k œ n ə n
kunst	k u n s t	k œ n s t
Kunst	K u n s t	k œ n s t
kunstacademie	k u n s t a c a d e m ie	k œ n s t a k a d e m i
Kunstbezit	K u n s t b e z i t	k œ n s t b ə z ɪ t
Kunstcomplex	K u n s t c o m p l e x	k œ n s t k ɔ m p l ɛ ks
kunsten	k u n s t e n	k œ n s t ə n
kunstenaar	k u n s t e n aa r	k œ n s t e n a r
kunstenaars	k u n s t e n aa r s	k œ n s t e n a r s
Kunstenaarscollectief	K u n s t e n aa r s c o ll e c t ie f	k œ n s t e n a r s k ɔ l ɛ k t i f
kunstensector	k u n s t e n s e c t o r	k œ n s t ɛ n s ɛ k t ɔ r
kunstfietsroute	k u n s t f ie t s r ou t e	k œ n s t f i t s r u t ə
Kunstfietsroute	K u n s t f ie t s r ou t e	k œ n s t f i t s r u t ə
kunstgras	k u n s t g r a s	k œ n s t ɣ r ɑ s
kunstje	k u n s tj e	k œ n s c ə
kunstjes	k u n s tj e s	k œ n s c ɛ s
Kunstkatern	K u n s t k a t e r n	k œ n s t k a t ɛ r n
Künstlerhaus	K ü n s t l e r h au s	k y n s t l e r h ɑu s
kunstmarktjes	k u n s t m a r k tj e s	k œ n s t m ɑ r k c ɛ s
kunstmatige	k u n s t m a t i g e	k œ n s t m a t ə ɣ ə
kunstmest	k u n s t m e s t	k œ n s t m ɛ s t
kunstnagels	k u n s t n a g e l s	k œ n s t n a ɣ ə l s
kunstschilder	k u n s t s ch i l d e r	k œ n s t s x ɪ l d ə r
kunststof	k u n s t s t o f	k œ n s t s t ɔ f
kunstuitgave	k u n s t ui t g a v e	k œ n s t œy t ɣ a v ə
kunstwereld	k u n s t w e r e l d	k œ n s t ʋ e r ɛ l t
kunstwerk	k u n s t w e r k	k œ n s t ʋ ɛ r k
kunstwerken	k u n s t w e r k e n	k œ n s t ʋ ɛ r k ə n
Kunstwerken	K u n s t w e r k e n	k œ n s t ʋ ɛ r k ə n
kunstzinnig	k u n s t z i nn i g	k œ n s t z ɪ n ə ɣ
kunt	k u n t	k œ n t
Kuppam	K u pp a m	k œ p ɑ m
Kuringen	K u r i ng e n	k y r ɪ ŋ ə n
Kurk	K u r k	k œ r k
kurk-les	k u r k - l e s	k œ r k l ɛ s
Kurt	K u r t	k œ r t
Kurzweil	K u r z w ei l	k œ r z ʋ ɛɪ l
kussens	k u ss e n s	k œ s ɛ n s
kust	k u s t	k œ s t
kustnavigatie	k u s t n a v i g a t ie	k œ s t n a v i ɣ a ts i
Kustnavigatie	K u s t n a v i g a t ie	k œ s t n a v i ɣ a ts i
kustploeg	k u s t p l oe g	k œ s t p l u ɣ
kut	k u t	k œ t
kutlippen	k u t l i pp e n	k œ t l ɪ p ə n
Kuyper	K u y p e r	k y i p ə r
kwaad	k w aa d	k ʋ a t
kwaadwilligheid	k w aa d w i ll i gh ei d	k ʋ a d ʋ ɪ l i g ɛɪ t
kwajongenstreken	k w a j o ng e n s t r e k e n	k ʋ a j ɔ ŋ ə n s t r e k ə n
kwalificatie	k w a l i f i c a t ie	k ʋ a l i f i k a ts i
kwalificatie-eis	k w a l i f i c a t ie - ei s	k ʋ a l i f i k a ts i ɛɪ s
kwalificatieduel	k w a l i f i c a t ie d u e l	k ʋ a l i f i k a ts i d y ə l
kwalificatieronde	k w a l i f i c a t ie r o n d e	k ʋ a l i f i k a ts i r ɔ n d ə
kwalificaties	k w a l i f i c a t ie s	k ʋ a l i f i k a ts i s
kwalificatiestructuur	k w a l i f i c a t ie s t r u c t uu r	k ʋ a l i f i k a ts i s t r œ k t y r
kwalificatieverwerving	k w a l i f i c a t ie v e r w e r v i ng	k ʋ a l i f i k a ts i v e r ʋ ɛ r v ɪ ŋ
kwalificeren	k w a l i f i c e r e n	k ʋ a l i f i s e r ə n
kwalijke	k w a l ij k e	k ʋ a l ə k ə
kwalitatief	k w a l i t a t ie f	k ʋ a l i t a t i f
kwaliteit	k w a l i t ei t	k ʋ a l i t ɛɪ t
Kwaliteit	K w a l i t ei t	k ʋ a l i t ɛɪ t
kwaliteiten	k w a l i t ei t e n	k ʋ a l i t ɛɪ t ə n
kwaliteits	k w a l i t ei t s	k ʋ a l i t ɛɪ t s
kwaliteits-verhouding	k w a l i t ei t s - v e r h ou d i ng	k ʋ a l i t ɛɪ t s v e r h ɑu d ɪ ŋ
kwaliteitsbeleid	k w a l i t ei t s b e l ei d	k ʋ a l i t ɛɪ t s b ə l ɛɪ t
kwaliteitsglazen	k w a l i t ei t s g l a z e n	k ʋ a l i t ɛɪ t s ɣ l a z ə n
kwaliteitsopleiding	k w a l i t ei t s o p l ei d i ng	k ʋ a l i t ɛɪ t s ɔ p l ɛɪ d ɪ ŋ
Kwaliteitsproducten	K w a l i t ei t s p r o d u c t e n	k ʋ a l i t ɛɪ t s p r o d œ k t ə n
